,DA_FB_Ht_2,DA_FB_Ht_20,DA_FB_Ht_40,DA_FB_Ht_80,DA_Ran_Ht_2,DA_Ran_Ht_20,DA_Ran_Ht_40,DA_Ran_Ht_80,DA_Reg_Ht_2,DA_Reg_Ht_20,DA_Reg_Ht_40,DA_Reg_Ht_80,DA_USPG_Ht_2,DA_USPG_Ht_20,DA_USPG_Ht_40,DA_USPG_Ht_80,ecc_clo_FB_Ht_2,ecc_clo_FB_Ht_20,ecc_clo_FB_Ht_40,ecc_clo_FB_Ht_80,ecc_clo_Ran_Ht_2,ecc_clo_Ran_Ht_20,ecc_clo_Ran_Ht_40,ecc_clo_Ran_Ht_80,ecc_clo_Reg_Ht_2,ecc_clo_Reg_Ht_20,ecc_clo_Reg_Ht_40,ecc_clo_Reg_Ht_80,ecc_clo_USPG_Ht_2,ecc_clo_USPG_Ht_20,ecc_clo_USPG_Ht_40,ecc_clo_USPG_Ht_80,lpsi_FB_Ht_2,lpsi_FB_Ht_20,lpsi_FB_Ht_40,lpsi_FB_Ht_80,lpsi_Ran_Ht_2,lpsi_Ran_Ht_20,lpsi_Ran_Ht_40,lpsi_Ran_Ht_80,lpsi_Reg_Ht_2,lpsi_Reg_Ht_20,lpsi_Reg_Ht_40,lpsi_Reg_Ht_80,lpsi_USPG_Ht_2,lpsi_USPG_Ht_20,lpsi_USPG_Ht_40,lpsi_USPG_Ht_80,mdl_FB_Ht_2,mdl_FB_Ht_20,mdl_FB_Ht_40,mdl_FB_Ht_80,mdl_Ran_Ht_2,mdl_Ran_Ht_20,mdl_Ran_Ht_40,mdl_Ran_Ht_80,mdl_Reg_Ht_2,mdl_Reg_Ht_20,mdl_Reg_Ht_40,mdl_Reg_Ht_80,mdl_USPG_Ht_2,mdl_USPG_Ht_20,mdl_USPG_Ht_40,mdl_USPG_Ht_80
46,1,2,3,1,1,1,3,3,0,1,2,6,3,9,14,22,1,2,1,3,1,0,0,4,0,0,3,8,2,5,4,12,1,2,3,4,2,2,4,4,2,3,5,8,1,13,16,23,2,2,2,2,3,4,5,5,2,1,2,6,5,12,11,13
47,1,3,1,6,0,1,3,4,1,1,1,4,1,3,4,17,1,2,1,4,0,0,3,2,0,0,2,9,3,13,13,8,2,2,4,7,2,1,4,5,0,1,2,3,3,17,24,20,2,2,2,2,2,3,5,5,0,1,1,4,3,5,7,23
48,1,1,2,3,0,0,1,4,0,2,1,4,7,8,14,16,1,1,2,1,0,0,4,4,0,0,2,8,5,1,8,9,1,2,3,3,1,3,4,3,0,3,1,7,1,8,16,20,2,2,3,2,2,4,4,4,0,2,1,4,2,7,13,16
49,1,1,2,3,1,0,1,3,0,1,0,1,5,10,25,10,1,1,2,2,0,0,1,4,0,1,4,6,2,4,13,6,1,2,4,4,0,2,4,5,2,5,4,4,2,12,15,20,2,2,2,2,1,3,5,4,0,1,0,1,8,4,6,11
50,1,3,2,2,1,0,0,4,0,2,2,2,7,11,14,8,1,1,2,2,0,0,0,4,0,2,1,6,4,9,14,7,2,2,2,4,2,2,2,4,3,6,0,4,9,10,26,16,2,2,2,3,2,3,4,5,1,1,2,2,10,12,11,5
51,1,2,1,3,1,2,2,4,0,0,2,3,2,5,15,23,1,2,3,2,0,0,2,4,0,0,0,4,3,4,6,9,2,2,4,4,1,1,4,5,1,0,1,6,1,9,12,17,2,2,2,3,2,2,4,5,1,0,2,3,6,8,16,18
52,0,1,4,2,1,0,3,4,3,1,0,2,1,12,16,13,1,1,3,1,0,0,0,3,1,0,0,6,1,5,7,4,1,2,2,3,2,2,2,3,6,1,4,4,4,9,13,7,1,2,2,3,2,3,3,4,3,1,0,2,5,5,13,12
53,1,1,1,1,1,1,3,4,1,1,2,2,3,7,13,31,1,1,3,2,0,0,0,4,1,0,0,7,5,6,4,17,1,2,4,4,2,3,3,4,1,1,3,5,5,9,7,29,2,2,2,2,0,4,5,5,1,1,3,2,3,8,12,20
54,1,1,2,4,1,2,2,4,1,1,1,3,1,10,12,25,1,1,2,2,0,0,0,4,1,0,0,8,0,7,11,8,1,2,2,4,1,1,4,5,0,1,6,1,3,10,21,20,1,2,2,2,3,3,5,6,0,1,1,3,6,13,18,20
55,1,1,1,1,1,1,2,4,0,1,5,1,4,11,11,14,1,1,1,2,0,0,4,4,0,0,2,6,3,8,6,3,1,2,3,4,2,3,4,4,0,3,5,6,2,11,16,17,2,2,3,2,3,3,5,5,0,1,5,1,5,4,16,10
